type_of_request_GET,type_of_request_POST,avg_payload_size,request_rate,failed_requests,label
1.0,0.0,0.0,11.512931311398939,1.0,1
0.0,1.0,150.0,9.550933070063413,0.0,1
1.0,0.0,0.0,16.556699939184234,0.0,1
0.0,1.0,150.0,9.186512189730955,2.0,1
1.0,0.0,0.0,9.185025700283507,0.0,1
1.0,0.0,0.0,2.0162535889696773,2.0,1
1.0,0.0,0.0,10.840957697630156,2.0,1
1.0,0.0,0.0,10.264267851277673,0.0,1
1.0,0.0,0.0,7.70553779298144,2.0,1
1.0,0.0,0.0,11.027232027732456,0.0,1
1.0,0.0,0.0,11.779248268580298,3.0,1
1.0,0.0,0.0,11.573344910561254,0.0,1
0.0,1.0,150.0,8.647819778782777,0.0,1
1.0,0.0,0.0,12.458727492235635,2.0,1
1.0,0.0,0.0,13.737632011373634,1.0,1
0.0,1.0,150.0,13.345792678557439,0.0,1
0.0,1.0,150.0,16.29648738368837,1.0,1
0.0,1.0,150.0,8.068113064635703,1.0,1
1.0,0.0,0.0,7.373167548376963,1.0,1
0.0,1.0,150.0,6.861688539090261,0.0,1
1.0,0.0,0.0,6.252563563006452,0.0,1
0.0,1.0,150.0,6.0081327029824605,0.0,1
1.0,0.0,0.0,9.39740007387711,2.0,1
1.0,0.0,0.0,12.411275968492584,1.0,1
1.0,0.0,0.0,6.312471329536383,0.0,1
0.0,1.0,150.0,12.48849770791971,1.0,1
1.0,0.0,0.0,5.853816221504324,1.0,1
1.0,0.0,0.0,10.07547039141286,0.0,1
1.0,0.0,0.0,12.241781652376783,1.0,1
1.0,0.0,0.0,4.869352241249986,0.0,1
0.0,1.0,150.0,3.8235346471553573,3.0,1
1.0,0.0,0.0,10.439901948189807,1.0,1
0.0,1.0,150.0,10.621718701653787,1.0,1
0.0,1.0,150.0,11.784550894917048,2.0,1
0.0,1.0,150.0,16.93125148177099,1.0,1
1.0,0.0,0.0,9.608882001889164,2.0,1
0.0,1.0,150.0,11.388362975722288,0.0,1
0.0,1.0,150.0,8.8504005388423,0.0,1
0.0,1.0,150.0,9.829931974327462,1.0,1
0.0,1.0,150.0,9.808082064102537,1.0,1
0.0,1.0,150.0,9.00340199802422,1.0,1
0.0,1.0,150.0,8.203081318844369,2.0,1
0.0,1.0,150.0,8.633165178502313,2.0,1
0.0,1.0,150.0,9.930688784574661,0.0,1
0.0,1.0,150.0,8.324412669821747,2.0,1
1.0,0.0,0.0,9.34283318945122,1.0,1
1.0,0.0,0.0,5.273415565667856,2.0,1
0.0,1.0,150.0,7.548245977520416,0.0,1
1.0,0.0,0.0,6.906659647009788,0.0,1
1.0,0.0,0.0,11.122840569565263,0.0,1
0.0,1.0,150.0,6.579659136094515,2.0,1
0.0,1.0,150.0,7.88021204620152,0.0,1
1.0,0.0,0.0,11.052536138919812,2.0,1
1.0,0.0,0.0,11.918782985106084,2.0,1
1.0,0.0,0.0,12.298555809765254,0.0,1
0.0,1.0,150.0,10.10211205423457,0.0,1
0.0,1.0,150.0,12.855800983432768,1.0,1
0.0,1.0,150.0,11.938867803315349,0.0,1
1.0,0.0,0.0,6.64079317063601,0.0,1
0.0,1.0,150.0,12.981458858403787,1.0,1
0.0,1.0,150.0,17.022150521182837,0.0,1
1.0,0.0,0.0,11.40479824407126,1.0,1
0.0,1.0,150.0,10.816945854670262,2.0,1
0.0,1.0,150.0,6.254470753231679,0.0,1
0.0,1.0,150.0,3.852763793145286,2.0,1
1.0,0.0,0.0,8.388933668271111,2.0,1
1.0,0.0,0.0,10.442889479251553,0.0,1
1.0,0.0,0.0,10.413074071042008,0.0,1
0.0,1.0,150.0,8.91799681710769,1.0,1
1.0,0.0,0.0,12.520215482660426,1.0,1
0.0,1.0,150.0,13.734596472821488,1.0,1
0.0,1.0,150.0,14.019468781833979,1.0,1
1.0,0.0,0.0,12.488430580363575,1.0,1
0.0,1.0,150.0,10.437613755779752,0.0,1
0.0,1.0,150.0,14.818174170315096,0.0,1
0.0,1.0,150.0,3.88884699770972,2.0,1
0.0,1.0,150.0,13.086544483134231,0.0,1
1.0,0.0,0.0,9.383860069289803,0.0,1
1.0,0.0,0.0,12.396368482632443,2.0,1
0.0,1.0,150.0,5.07386883576971,1.0,1
1.0,0.0,0.0,9.413333959708508,0.0,1
0.0,1.0,150.0,2.3920558776666443,0.0,1
1.0,0.0,0.0,5.60840763405235,1.0,1
0.0,1.0,150.0,7.226350869325469,3.0,1
1.0,0.0,0.0,15.157773875456485,2.0,1
0.0,1.0,150.0,9.953934395135315,2.0,1
1.0,0.0,0.0,7.451963554770211,1.0,1
0.0,1.0,150.0,14.507185345192976,1.0,1
0.0,1.0,150.0,6.830930559777011,1.0,1
1.0,0.0,0.0,6.514876648962534,0.0,1
0.0,1.0,150.0,11.858606229206524,1.0,1
0.0,1.0,150.0,12.376557802723045,0.0,1
0.0,1.0,150.0,10.87272377362052,0.0,1
0.0,1.0,150.0,13.502764315269959,1.0,1
1.0,0.0,0.0,11.621480471904382,1.0,1
0.0,1.0,150.0,6.750653635562239,0.0,1
0.0,1.0,150.0,11.853701487711255,2.0,1
0.0,1.0,150.0,7.5084762189943675,2.0,1
0.0,1.0,150.0,6.58092721480711,0.0,1
1.0,0.0,0.0,12.078380738674046,2.0,1
1.0,0.0,0.0,11.018685161083951,0.0,1
0.0,1.0,150.0,7.573460127890709,1.0,1
0.0,1.0,150.0,14.745928117039625,1.0,1
0.0,1.0,150.0,12.882054208845851,0.0,1
0.0,1.0,150.0,11.008191674145085,2.0,1
1.0,0.0,0.0,10.057037643033203,2.0,1
1.0,0.0,0.0,2.7614249356987397,1.0,1
1.0,0.0,0.0,10.12935191561544,0.0,1
1.0,0.0,0.0,10.506676020353533,0.0,1
0.0,1.0,150.0,9.466101736663441,2.0,1
0.0,1.0,150.0,11.544453644496881,1.0,1
1.0,0.0,0.0,11.460307910165884,1.0,1
1.0,0.0,0.0,8.812148530779709,1.0,1
0.0,1.0,150.0,13.768460865338529,2.0,1
1.0,0.0,0.0,14.307082320924057,2.0,1
1.0,0.0,0.0,11.29649758613562,1.0,1
0.0,1.0,150.0,4.434662014799895,0.0,1
1.0,0.0,0.0,8.410184806102006,0.0,1
0.0,1.0,150.0,10.276488404130276,1.0,1
0.0,1.0,150.0,13.930854076527982,0.0,1
0.0,1.0,150.0,12.37767711863437,0.0,1
0.0,1.0,150.0,11.663831293548563,1.0,1
1.0,0.0,0.0,16.418291359543343,1.0,1
0.0,1.0,150.0,8.682919377412738,2.0,1
1.0,0.0,0.0,5.1199129806282,1.0,1
1.0,0.0,0.0,10.869024808061074,1.0,1
1.0,0.0,0.0,9.402180165455402,1.0,1
0.0,1.0,150.0,7.670103403436145,0.0,1
1.0,0.0,0.0,12.718141206466953,0.0,1
1.0,0.0,0.0,13.16101888443681,1.0,1
1.0,0.0,0.0,13.566462786248605,0.0,1
1.0,0.0,0.0,7.101803906548431,2.0,1
0.0,1.0,150.0,6.3529375365909235,0.0,1
0.0,1.0,150.0,11.197666241126784,0.0,1
1.0,0.0,0.0,9.214821012214939,1.0,1
1.0,0.0,0.0,10.572733652633845,1.0,1
0.0,1.0,150.0,12.132209313350618,0.0,1
0.0,1.0,150.0,7.502323316446574,1.0,1
1.0,0.0,0.0,12.550521382317164,1.0,1
1.0,0.0,0.0,5.992607175674919,1.0,1
1.0,0.0,0.0,6.24874585417432,0.0,1
0.0,1.0,150.0,5.400475543263604,0.0,1
1.0,0.0,0.0,5.27685504106455,0.0,1
0.0,1.0,150.0,6.867821848058898,0.0,1
1.0,0.0,0.0,7.162548888607824,2.0,1
0.0,1.0,150.0,11.202478948089073,0.0,1
0.0,1.0,150.0,7.139722408207902,0.0,1
0.0,1.0,150.0,7.508178485505371,0.0,1
1.0,0.0,0.0,7.765633122113299,2.0,1
1.0,0.0,0.0,9.597657515262943,1.0,1
1.0,0.0,0.0,14.416025307117016,0.0,1
1.0,0.0,0.0,10.818296513176259,0.0,1
1.0,0.0,0.0,10.066604389813431,1.0,1
0.0,1.0,150.0,11.864877818750315,1.0,1
1.0,0.0,0.0,5.652283789064672,3.0,1
1.0,0.0,0.0,8.663473713255078,1.0,1
1.0,0.0,0.0,10.800510827063649,0.0,1
0.0,1.0,150.0,11.255608507279796,2.0,1
1.0,0.0,0.0,14.463935046167544,0.0,1
1.0,0.0,0.0,15.133362692380915,0.0,1
0.0,1.0,150.0,8.346618715296987,0.0,1
0.0,1.0,150.0,13.14901892992474,1.0,1
0.0,1.0,150.0,10.596985908139068,1.0,1
0.0,1.0,150.0,7.54738811366872,0.0,1
1.0,0.0,0.0,15.549102312095634,0.0,1
0.0,1.0,150.0,12.531245930838786,2.0,1
1.0,0.0,0.0,10.313432573955241,1.0,1
1.0,0.0,0.0,9.380261321570742,0.0,1
0.0,1.0,150.0,10.359463689087875,1.0,1
0.0,1.0,150.0,7.644164893019813,0.0,1
0.0,1.0,150.0,10.880798708511374,1.0,1
1.0,0.0,0.0,13.612277732761086,0.0,1
0.0,1.0,150.0,9.268838593034204,0.0,1
1.0,0.0,0.0,15.861694563382997,0.0,1
1.0,0.0,0.0,16.25949200272445,1.0,1
1.0,0.0,0.0,13.529304036609624,1.0,1
1.0,0.0,0.0,16.915259661825047,0.0,1
1.0,0.0,0.0,9.25019096545489,0.0,1
1.0,0.0,0.0,7.25022651979456,0.0,1
0.0,1.0,150.0,12.26875840515992,0.0,1
0.0,1.0,150.0,10.0833608665204,2.0,1
1.0,0.0,0.0,6.164374820460801,0.0,1
1.0,0.0,0.0,7.95478522050173,1.0,1
1.0,0.0,0.0,11.620637421216156,2.0,1
1.0,0.0,0.0,9.929796472479376,2.0,1
1.0,0.0,0.0,5.4041927029641705,2.0,1
0.0,1.0,150.0,13.959965198011803,0.0,1
0.0,1.0,150.0,10.150688681270188,2.0,1
0.0,1.0,150.0,8.009494734451701,1.0,1
0.0,1.0,150.0,12.955610281986349,0.0,1
0.0,1.0,150.0,10.492343796415481,4.0,1
0.0,1.0,150.0,8.955171795390166,2.0,1
0.0,1.0,150.0,8.215562390832792,0.0,1
0.0,1.0,150.0,8.881277136918362,2.0,1
0.0,1.0,150.0,18.260209130320604,1.0,1
1.0,0.0,0.0,8.744526416233084,3.0,1
1.0,0.0,0.0,8.989050847724727,0.0,1
1.0,0.0,0.0,10.729310864098252,1.0,1
1.0,0.0,0.0,11.315362827561922,1.0,1
1.0,0.0,0.0,11.09896659404367,3.0,1
0.0,1.0,150.0,12.640545587679735,1.0,1
0.0,1.0,150.0,4.249530660040046,1.0,1
0.0,1.0,150.0,4.975122409804879,2.0,1
0.0,1.0,150.0,3.9949366111711218,1.0,1
1.0,0.0,0.0,8.24295593517367,1.0,1
1.0,0.0,0.0,14.45297039909561,0.0,1
0.0,1.0,150.0,18.454338724766238,0.0,1
0.0,1.0,150.0,11.851227797351422,1.0,1
1.0,0.0,0.0,7.913864222620696,1.0,1
0.0,1.0,150.0,10.249142210551181,1.0,1
1.0,0.0,0.0,9.65327657797663,1.0,1
1.0,0.0,0.0,17.509310123249765,2.0,1
0.0,1.0,150.0,8.14238289620406,0.0,1
1.0,0.0,0.0,13.366322499985841,0.0,1
1.0,0.0,0.0,11.842667592101531,2.0,1
1.0,0.0,0.0,10.492553798685021,1.0,1
0.0,1.0,150.0,10.092389447060281,0.0,1
0.0,1.0,150.0,9.53055212615587,0.0,1
0.0,1.0,150.0,8.94596703212913,0.0,1
0.0,1.0,150.0,15.804265828207281,0.0,1
1.0,0.0,0.0,11.553668863446415,2.0,1
0.0,1.0,150.0,13.003636692886566,1.0,1
1.0,0.0,0.0,15.979699383867713,2.0,1
0.0,1.0,150.0,5.249445120597244,1.0,1
0.0,1.0,150.0,9.0736930189844,2.0,1
1.0,0.0,0.0,11.77998849770797,0.0,1
1.0,0.0,0.0,8.631822120959146,0.0,1
0.0,1.0,150.0,13.97928823064661,1.0,1
0.0,1.0,150.0,8.409040147714833,0.0,1
1.0,0.0,0.0,9.370663186597454,2.0,1
0.0,1.0,150.0,8.710169383427257,0.0,1
0.0,1.0,150.0,12.712168979604163,0.0,1
1.0,0.0,0.0,9.886562383187393,1.0,1
0.0,1.0,150.0,9.57669537470769,2.0,1
1.0,0.0,0.0,11.71922332689907,0.0,1
1.0,0.0,0.0,9.574947480915421,4.0,1
0.0,1.0,150.0,16.647036860146272,1.0,1
1.0,0.0,0.0,9.986795557951382,3.0,1
1.0,0.0,0.0,12.041675143837274,4.0,1
1.0,0.0,0.0,13.080239655434719,2.0,1
0.0,1.0,150.0,9.367556399513488,0.0,1
1.0,0.0,0.0,10.182513357134042,1.0,1
1.0,0.0,0.0,10.440601858784033,1.0,1
0.0,1.0,150.0,6.771574822054176,2.0,1
0.0,1.0,150.0,8.02275705251013,3.0,1
1.0,0.0,0.0,12.832102157697891,0.0,1
0.0,1.0,150.0,12.517415115049351,2.0,1
0.0,1.0,150.0,5.279117323555402,1.0,1
0.0,1.0,150.0,4.715345892195609,1.0,1
1.0,0.0,0.0,11.39727808987648,0.0,1
0.0,1.0,150.0,7.808654843672807,0.0,1
0.0,1.0,150.0,8.50022627765633,0.0,1
0.0,1.0,150.0,8.352831871434446,0.0,1
1.0,0.0,0.0,3.186239106933078,3.0,1
0.0,1.0,150.0,15.175663620530555,2.0,1
1.0,0.0,0.0,12.805705199265562,2.0,1
1.0,0.0,0.0,10.14722811583891,1.0,1
0.0,1.0,150.0,10.679271481697677,0.0,1
0.0,1.0,150.0,0.09033824945560198,0.0,1
0.0,1.0,150.0,8.104104577529135,1.0,1
1.0,0.0,0.0,10.101098846504785,1.0,1
1.0,0.0,0.0,10.918466572131365,1.0,1
1.0,0.0,0.0,9.797527581991847,3.0,1
0.0,1.0,150.0,11.747585958026733,1.0,1
0.0,1.0,150.0,5.37134440825543,0.0,1
1.0,0.0,0.0,12.663168302821996,0.0,1
0.0,1.0,150.0,8.981431423992976,2.0,1
1.0,0.0,0.0,8.192416762765346,0.0,1
1.0,0.0,0.0,11.548609694282863,1.0,1
1.0,0.0,0.0,9.367419636255162,2.0,1
0.0,1.0,150.0,9.35236491025929,0.0,1
0.0,1.0,150.0,15.193741698080487,0.0,1
0.0,1.0,150.0,16.361375847809345,0.0,1
1.0,0.0,0.0,9.193009549163595,1.0,1
0.0,1.0,150.0,10.883802997536236,1.0,1
0.0,1.0,150.0,13.37175443804114,2.0,1
0.0,1.0,150.0,7.5662839401426245,0.0,1
0.0,1.0,150.0,13.924275427110722,1.0,1
0.0,1.0,150.0,14.035199011263522,0.0,1
0.0,1.0,150.0,12.920963099010853,2.0,1
1.0,0.0,0.0,8.543165325789705,1.0,1
1.0,0.0,0.0,6.623549011719039,1.0,1
0.0,1.0,150.0,7.863945641564733,1.0,1
1.0,0.0,0.0,8.56459292781802,0.0,1
1.0,0.0,0.0,11.945548165490539,0.0,1
1.0,0.0,0.0,9.875674982039143,1.0,1
0.0,1.0,150.0,8.903509906006365,2.0,1
1.0,0.0,0.0,12.621439870637126,2.0,1
1.0,0.0,0.0,5.322526453678765,1.0,1
1.0,0.0,0.0,10.807396882578999,2.0,1
1.0,0.0,0.0,6.524433739778158,0.0,1
1.0,0.0,0.0,13.338641944663655,0.0,1
0.0,1.0,150.0,17.84767881087618,0.0,1
0.0,1.0,150.0,15.705357143893938,3.0,1
0.0,1.0,150.0,15.244206149584196,0.0,1
0.0,1.0,150.0,12.655062487387072,2.0,1
1.0,0.0,0.0,12.113023269377546,0.0,1
0.0,1.0,150.0,11.755776998794914,0.0,1
1.0,0.0,0.0,7.580854826187434,1.0,1
1.0,0.0,0.0,11.55077528522711,0.0,1
0.0,1.0,150.0,9.679759038594245,1.0,1
1.0,0.0,0.0,12.37551858250966,3.0,1
0.0,1.0,150.0,11.889699049734633,0.0,1
0.0,1.0,150.0,10.100588834331937,1.0,1
1.0,0.0,0.0,11.787792024183931,0.0,1
1.0,0.0,0.0,9.738809576680303,0.0,1
0.0,1.0,150.0,11.863599881851533,1.0,1
0.0,1.0,150.0,7.940645310019504,0.0,1
0.0,1.0,150.0,10.752121688763545,0.0,1
1.0,0.0,0.0,7.34221754006011,0.0,1
0.0,1.0,150.0,6.296157675538881,2.0,1
1.0,0.0,0.0,7.690175168089942,2.0,1
0.0,1.0,150.0,6.601042065207019,1.0,1
1.0,0.0,0.0,6.826290883548301,2.0,1
1.0,0.0,0.0,10.612996798762232,0.0,1
0.0,1.0,150.0,4.476449536434457,1.0,1
1.0,0.0,0.0,8.943498241929738,0.0,1
1.0,0.0,0.0,12.844566718099589,0.0,1
0.0,1.0,150.0,7.68832444037985,1.0,1
1.0,0.0,0.0,18.660274116416282,1.0,1
0.0,1.0,150.0,5.271681021213339,1.0,1
1.0,0.0,0.0,9.113673180726094,0.0,1
1.0,0.0,0.0,8.813660039064835,1.0,1
1.0,0.0,0.0,14.5531786365111,2.0,1
1.0,0.0,0.0,8.306124317645892,1.0,1
0.0,1.0,150.0,5.075499152145816,3.0,1
1.0,0.0,0.0,6.94146434618664,2.0,1
1.0,0.0,0.0,9.9654153913098,1.0,1
0.0,1.0,150.0,2.490379393031821,1.0,1
1.0,0.0,0.0,11.249697694305114,1.0,1
1.0,0.0,0.0,7.904531299636945,1.0,1
1.0,0.0,0.0,7.844321551153678,2.0,1
1.0,0.0,0.0,8.127061520698247,0.0,1
0.0,1.0,150.0,13.87229538284519,0.0,1
0.0,1.0,150.0,11.139867924552213,2.0,1
0.0,1.0,150.0,6.17145450161993,0.0,1
0.0,1.0,150.0,5.457445331518725,3.0,1
1.0,0.0,0.0,7.162738568630327,0.0,1
0.0,1.0,150.0,8.30740935362368,0.0,1
0.0,1.0,150.0,18.379325233094868,1.0,1
1.0,0.0,0.0,18.388767066030795,0.0,1
0.0,1.0,150.0,9.84063395295748,4.0,1
1.0,0.0,0.0,10.163909898720279,1.0,1
0.0,1.0,150.0,8.575508104282271,0.0,1
0.0,1.0,150.0,7.158217313842668,1.0,1
0.0,1.0,150.0,13.541389494925083,2.0,1
1.0,0.0,0.0,10.511605501801858,0.0,1
1.0,0.0,0.0,9.592252513104018,1.0,1
1.0,0.0,0.0,4.224001701765657,0.0,1
0.0,1.0,150.0,7.455416578546133,0.0,1
1.0,0.0,0.0,11.172891569161617,0.0,1
1.0,0.0,0.0,8.67147271834017,3.0,1
1.0,0.0,0.0,13.383400047062239,0.0,1
0.0,1.0,150.0,13.586061980432838,0.0,1
0.0,1.0,150.0,9.79698035681814,0.0,1
1.0,0.0,0.0,11.238321258845305,1.0,1
0.0,1.0,150.0,15.420306491115351,2.0,1
1.0,0.0,0.0,8.333105114537355,2.0,1
0.0,1.0,150.0,9.10041082612531,0.0,1
0.0,1.0,150.0,9.543815186734129,2.0,1
0.0,1.0,150.0,10.22807890387347,3.0,1
0.0,1.0,150.0,10.27092605898168,2.0,1
1.0,0.0,0.0,8.232655929874273,1.0,1
1.0,0.0,0.0,8.473311815514887,0.0,1
1.0,0.0,0.0,7.8624780843699345,1.0,1
0.0,1.0,150.0,11.847184084715792,0.0,1
0.0,1.0,150.0,8.408304567629454,2.0,1
0.0,1.0,150.0,8.380687724981371,2.0,1
1.0,0.0,0.0,12.917970838639025,3.0,1
0.0,1.0,150.0,10.057580859625459,1.0,1
0.0,1.0,150.0,6.8663346525350955,2.0,1
0.0,1.0,150.0,9.668198168006343,0.0,1
0.0,1.0,150.0,8.90208932071155,5.0,1
1.0,0.0,0.0,15.217037119145841,1.0,1
1.0,0.0,0.0,10.147547855021175,2.0,1
1.0,0.0,0.0,10.987744882981604,1.0,1
0.0,1.0,150.0,8.637196951254243,1.0,1
1.0,0.0,0.0,8.601295239437023,1.0,1
1.0,0.0,0.0,10.343106008269341,1.0,1
1.0,0.0,0.0,12.405059503403871,2.0,1
1.0,0.0,0.0,14.316152416685483,3.0,1
1.0,0.0,0.0,6.439547553806785,2.0,1
1.0,0.0,0.0,10.08353095090484,1.0,1
1.0,0.0,0.0,8.37224443413876,2.0,1
1.0,0.0,0.0,12.759067854889775,0.0,1
0.0,1.0,150.0,8.536473252175961,0.0,1
1.0,0.0,0.0,11.635240210246012,2.0,1
0.0,1.0,150.0,9.47262544720669,1.0,1
1.0,0.0,0.0,13.008908102946709,2.0,1
0.0,1.0,150.0,8.083815088925126,1.0,1
0.0,1.0,150.0,5.854024531290521,4.0,1
1.0,0.0,0.0,9.701415457248356,1.0,1
0.0,1.0,150.0,7.241442543391181,0.0,1
1.0,0.0,0.0,5.985772485709611,1.0,1
0.0,1.0,150.0,9.208444663678215,2.0,1
1.0,0.0,0.0,5.031485172612827,2.0,1
1.0,0.0,0.0,7.646952119389329,2.0,1
0.0,1.0,150.0,7.966543240650807,1.0,1
1.0,0.0,0.0,9.992721437839851,2.0,1
0.0,1.0,150.0,9.67740967637286,0.0,1
0.0,1.0,150.0,9.870855848572134,1.0,1
0.0,1.0,150.0,7.146225893040082,4.0,1
1.0,0.0,0.0,13.985863983582728,0.0,1
1.0,0.0,0.0,12.390228190037668,0.0,1
0.0,1.0,150.0,8.48480452706074,1.0,1
1.0,0.0,0.0,7.557862830227349,0.0,1
1.0,0.0,0.0,11.909404120879985,1.0,1
1.0,0.0,0.0,8.629597364129975,1.0,1
1.0,0.0,0.0,13.904688715291323,1.0,1
0.0,1.0,150.0,13.366080832665032,1.0,1
0.0,1.0,150.0,9.983817664355923,0.0,1
1.0,0.0,0.0,8.521576082235702,0.0,1
1.0,0.0,0.0,14.475954647555604,1.0,1
0.0,1.0,150.0,4.844189390757669,0.0,1
0.0,1.0,150.0,14.187158483378237,1.0,1
1.0,0.0,0.0,11.779605136008174,2.0,1
1.0,0.0,0.0,10.760575792992599,1.0,1
1.0,0.0,0.0,10.86947855807003,2.0,1
0.0,1.0,150.0,7.794597198802846,1.0,1
0.0,1.0,150.0,8.566870742590371,1.0,1
1.0,0.0,0.0,9.352123145121476,1.0,1
0.0,1.0,150.0,7.491782826800446,1.0,1
1.0,0.0,0.0,9.959154706855365,0.0,1
1.0,0.0,0.0,8.121275353949214,0.0,1
1.0,0.0,0.0,11.932424749584998,1.0,1
1.0,0.0,0.0,10.193940135542409,1.0,1
0.0,1.0,150.0,6.96218065924997,0.0,1
0.0,1.0,150.0,9.917289641600583,0.0,1
0.0,1.0,150.0,10.080245934825301,0.0,1
1.0,0.0,0.0,12.304608020068152,0.0,1
0.0,1.0,150.0,13.047013696603841,0.0,1
0.0,1.0,150.0,14.304401814257748,3.0,1
0.0,1.0,150.0,4.543287041506044,0.0,1
1.0,0.0,0.0,5.187846340634417,1.0,1
1.0,0.0,0.0,11.569414852370738,1.0,1
0.0,1.0,150.0,9.950150705050348,0.0,1
1.0,0.0,0.0,10.571167487410886,0.0,1
0.0,1.0,150.0,11.788761809275053,0.0,1
0.0,1.0,150.0,8.757062914677368,0.0,1
1.0,0.0,0.0,10.360520684507273,2.0,1
0.0,1.0,150.0,14.024554903133206,1.0,1
0.0,1.0,150.0,4.703618978776788,1.0,1
0.0,1.0,150.0,11.919103320880538,1.0,1
1.0,0.0,0.0,12.155085094980926,3.0,1
1.0,0.0,0.0,6.41520282942159,1.0,1
0.0,1.0,150.0,17.547967010301477,0.0,1
0.0,1.0,150.0,11.355966591207578,2.0,1
0.0,1.0,150.0,13.227234867926754,1.0,1
1.0,0.0,0.0,9.206020151354108,0.0,1
1.0,0.0,0.0,4.662406694203996,1.0,1
1.0,0.0,0.0,6.6338348796617925,1.0,1
0.0,1.0,150.0,5.144536607324443,0.0,1
1.0,0.0,0.0,1.1372523615448422,0.0,1
1.0,0.0,0.0,11.084789925753116,1.0,1
1.0,0.0,0.0,10.872751452171787,3.0,1
1.0,0.0,0.0,14.363094111282845,1.0,1
1.0,0.0,0.0,16.78606400253874,2.0,1
0.0,1.0,150.0,4.271220699405531,1.0,1
0.0,1.0,150.0,8.792108531605699,0.0,1
0.0,1.0,150.0,18.401821608947138,1.0,1
1.0,0.0,0.0,11.591788935122565,2.0,1
0.0,1.0,150.0,7.081764634403564,1.0,1
0.0,1.0,150.0,5.197754432145187,2.0,1
0.0,1.0,150.0,8.419213755290478,1.0,1
1.0,0.0,0.0,9.880068072508411,1.0,1
1.0,0.0,0.0,6.87939288293876,1.0,1
0.0,1.0,150.0,8.441994788421663,2.0,1
0.0,1.0,150.0,8.054353369199124,3.0,1
1.0,0.0,0.0,11.49631547061379,4.0,1
0.0,1.0,150.0,9.745478057971765,2.0,1
0.0,1.0,150.0,6.473283607103626,2.0,1
0.0,1.0,150.0,14.925391153833356,0.0,1
1.0,0.0,0.0,6.387166186603187,1.0,1
1.0,0.0,0.0,10.703303214512097,3.0,1
0.0,1.0,150.0,9.755254072867917,0.0,1
0.0,1.0,150.0,7.494887770606376,0.0,1
